2456664.807	11.535	0.01
2456664.808	11.537	0.01
2456664.891	11.547	0.01
2456664.891	11.554	0.01
2456664.952	11.553	0.01
2456664.952	11.549	0.01
2456664.998	11.547	0.01
2456664.998	11.554	0.01
2456665.061	11.548	0.01
2456665.833	11.526	0.01
2456665.834	11.527	0.01
2456665.918	11.522	0.01
2456665.918	11.521	0.01
2456665.984	11.517	0.01
2456665.985	11.523	0.01
2456666.031	11.529	0.01
2456666.031	11.53	0.01
2456666.797	11.548	0.01
2456666.798	11.535	0.01
2456666.943	11.56	0.01
2456666.944	11.556	0.01
2456666.99	11.553	0.01
2456666.99	11.561	0.01
2456667.058	11.552	0.01
2456667.058	11.543	0.01
2456667.798	11.532	0.01
2456667.798	11.524	0.01
2456667.865	11.531	0.01
2456667.865	11.524	0.01
2456667.928	11.533	0.01
2456667.929	11.532	0.01
2456667.977	11.52	0.01
2456667.977	11.52	0.01
2456668.023	11.522	0.01
2456668.024	11.532	0.01
2456668.059	11.532	0.01
2456668.06	11.53	0.01
