Designation (and name)	Prov	. Des.	q	Q	EMoid	H	Epoch	M	Peri.	Node	Incl.	e	a	Opps.	Ref.	Designation (and name)	"Discovery date, site and discoverer(s)"
	2013	RG74	0.207	1.18	0.00041	23.3	20131104	327.8	157.6	359.4	6.5	0.702	0.693	(  8d)	MPO272555	2013 RG74	2013 09 15  703  Catalina Sky Survey
	2013	RD6	0.727	1.1	0.08988	24.8	20131104	257.6	176.7	338.7	17.2	0.204	0.914	( 25d)	MPO277246	2013 RD6	2013 09 02  G96  Mt. Lemmon Survey
	2013	RO5	0.485	1.031	0.01962	24.8	20131104	281.2	175.9	339.7	10.1	0.36	0.758	(  6d)	MPO270179	2013 RO5	2013 09 01  703  Catalina Sky Survey
	2013	QN10	0.469	1.454	0.05288	22.4	20131104	154.1	24.2	177.5	6	0.512	0.962	( 47d)	MPO277242	2013 QN10	2013 08 27  F51  Pan-STARRS 1
	2013	QJ10	0.552	1.368	0.02464	19.5	20131104	155.9	243.8	327.5	18.1	0.425	0.96	(129d)	MPO281952	2013 QJ10	2013 08 24  J75
	2013	OY3	0.547	1.121	0.00667	24.8	20131104	255.8	45.7	107.3	2.3	0.344	0.834	(  8d)	MPO267691	2013 OY3	2013 07 26  E12  Siding Spring Survey
	2013	NC24	0.715	1.243	0.03739	25.3	20131104	18.5	307.7	109.3	10.1	0.27	0.979	(  8d)	MPO267688	2013 NC24	2013 07 13  F51  Pan-STARRS 1
	2013	ND15	0.281	1.166	0.00748	24.1	20131104	357.6	19.7	95.8	4.8	0.612	0.724	( 26d)	MPO268510	2013 ND15	2013 07 13  F51  Pan-STARRS 1
	2013	NG10	0.634	1.274	0.07329	22.7	20131104	3	316.5	111.3	20.6	0.335	0.954	(  6d)	MPO265949	2013 NG10	2013 07 03  F51  Pan-STARRS 1
	2013	NV	0.469	1.448	0.03838	20	20131104	200.7	227.8	275.6	29.3	0.511	0.959	( 43d)	MPO271297	2013 NV	2013 07 01  E12  Siding Spring Survey
	2013	MD6	0.483	1.224	0.2049	21.7	20131104	335.2	1.6	92	28.3	0.434	0.854	( 26d)	MPO265941	2013 MD6	2013 06 19  F51  Pan-STARRS 1
	2013	MR	0.445	1.302	0.09145	21.6	20131104	296	207.3	266.9	20.2	0.491	0.874	( 48d)	MPO268508	2013 MR	2013 06 17  F51  Pan-STARRS 1
	2013	LC1	0.652	1.284	0.0249	23.7	20131104	255.8	47.2	80.1	5.3	0.326	0.968	( 43d)	MPO285771	2013 LC1	2013 06 02  G96  Mt. Lemmon Survey
	2013	KJ6	0.623	1.025	0.09451	19.8	20131104	354	235.7	212.3	20.4	0.244	0.824	( 50d)	MPO266957	2013 KJ6	2013 05 29  703  Catalina Sky Survey
	2013	KH6	0.774	1.071	0.04782	23.2	20131104	338.1	195.4	246.3	15.6	0.161	0.923	( 73d)	MPO268506	2013 KH6	2013 05 30  703  Catalina Sky Survey
	2013	KT1	0.772	1.074	0.00528	26.6	20131104	63.3	317.3	58.9	8.1	0.164	0.923	(  2d)	MPO263303	2013 KT1	2013 05 18  703  Catalina Sky Survey
	2013	JX28	0.262	0.94	0.06972	20.1	20131104	185.3	354.8	40	10.8	0.564	0.601	2	MPO263258	2013 JX28	2013 05 11  F51  Pan-STARRS 1
	2013	JL14	0.524	1.316	0.03688	24.5	20131104	110.1	136.4	227.2	14.8	0.431	0.92	(  7d)	MPO263240	2013 JL14	2013 05 08  F51  Pan-STARRS 1
	2013	JK14	0.494	1.35	0.0072	24.9	20131104	104.7	313	55.8	4.9	0.464	0.922	(  6d)	MPO263240	2013 JK14	2013 05 08  F51  Pan-STARRS 1
	2013	HM11	0.564	1.226	0.12426	23.1	20131104	98.6	333.4	32	29	0.37	0.895	( 21d)	MPO265065	2013 HM11	2013 04 17  F51  Pan-STARRS 1
	2013	GT66	0.576	1.125	0.01105	25.2	20131104	145.4	321.8	21.4	14.6	0.323	0.85	(  1d)	MPO259325	2013 GT66	2013 04 11  703  Catalina Sky Survey
	2013	GF23	0.582	1.133	0.07755	23.7	20131104	38	204.4	197.8	27.8	0.321	0.857	(  6d)	MPO259321	2013 GF23	2013 04 07  G96  Mt. Lemmon Survey
	2013	GO3	0.568	1.394	0.13529	23	20131104	107.5	144.6	193.2	20.9	0.421	0.981	(  7d)	MPO259320	2013 GO3	2013 04 04  G96  Mt. Lemmon Survey
	2013	GM3	0.596	1.077	0.00003	26.3	20131104	135.5	321.5	28.1	0	0.287	0.836	( 12d)	MPO285770	2013 GM3	2013 04 03  G96  Mt. Lemmon Survey
	2013	FQ10	0.754	1.115	0.11394	22.5	20131104	56.7	180.1	189.9	16.9	0.193	0.935	(109d)	MPO266948	2013 FQ10	2013 03 20  F51  Pan-STARRS 1
	2013	FM9	0.555	1.06	0.04877	23.8	20131104	108.3	192.4	177.3	14.9	0.313	0.807	(  9d)	MPO260858	2013 FM9	2013 03 20  G96  Mt. Lemmon Survey
	2013	FD8	0.752	1.23	0.02054	25.7	20131104	140.2	293.8	1.6	10.9	0.241	0.991	( 11d)	MPO260857	2013 FD8	2013 03 19  F51  Pan-STARRS 1
	2013	FZ7	0.55	1.293	0.04001	22.9	20131104	143.1	321.2	8.2	8.6	0.403	0.922	( 31d)	MPO265053	2013 FZ7	2013 03 18  691  Spacewatch
	2013	ES41	0.449	1.037	0.00494	26.6	20131104	217.9	341.7	353.7	10.3	0.396	0.743	(  1d)	MPO256843	2013 ES41	2013 03 12  703  Catalina Sky Survey
	2013	DL1	0.234	1.445	0.20744	20.9	20131104	120.3	185.8	142	26.6	0.721	0.839	( 15d)	MPO258465	2013 DL1	2013 02 16  G96  Mt. Lemmon Survey
	2013	DF	0.482	1.247	0.01171	24.6	20131104	215.3	321.9	329.7	4.2	0.442	0.864	(  4d)	MPO253354	2013 DF	2013 02 16  G96  Mt. Lemmon Survey
	2013	CN129	0.573	1.339	0.26554	21	20131104	58.8	199.4	149	34.6	0.401	0.956	2	E2014-D22	2013 CN129	2013 02 14  F51  Pan-STARRS 1
	2013	CN118	0.628	1.233	0.00798	25.5	20131104	21.3	232.7	143.7	3.2	0.326	0.93	(  1d)	MPO253345	2013 CN118	2013 02 14  G96  Mt. Lemmon Survey
	2013	CW32	0.562	1.247	0.03439	21.9	20131104	56.6	228.8	132.1	26.1	0.378	0.905	( 37d)	MPO258447	2013 CW32	2013 02 05  703  Catalina Sky Survey
	2013	BS45	0.914	1.081	0.01147	25.9	20131104	184	146	85.4	0.8	0.084	0.997	2	MPO283383	2013 BS45	2013 01 20  691  Spacewatch
	2013	BE19	0.64	1.182	0.04442	19.8	20131104	213.8	312	309.3	31	0.297	0.911	2	MPO278068	2013 BE19	2013 01 18  703  Catalina Sky Survey
	2013	BT18	0.337	1.21	0.01501	23.6	20131104	296.7	117.2	162	1.8	0.565	0.773	( 22d)	MPO265048	2013 BT18	2013 01 18  F51  Pan-STARRS 1
	2013	AH76	0.447	1.523	0.05982	22.9	20131104	7.2	353.7	347.2	4.5	0.546	0.985	(  6d)	MPO250178	2013 AH76	2013 01 14  703  Catalina Sky Survey
