IMAGE   JD              AIRMASS  M_inst  M_cal   ERR
n1.371  2454674.030722  1.306    13.185  13.675  0.019
n1.372  2454674.031244  1.309    13.186  13.673  0.016
n1.373  2454674.031766  1.311    13.191  13.662  0.027
n1.374  2454674.032289  1.314    13.188  13.674  0.016
n1.375  2454674.032811  1.317    13.187  13.674  0.017
n1.376  2454674.033332  1.320    13.190  13.676  0.016
n1.377  2454674.033854  1.323    13.185  13.673  0.016
n1.378  2454674.034376  1.325    13.187  13.674  0.016
n1.379  2454674.034897  1.328    13.183  13.671  0.015
n2.136  2454675.870187  1.228    13.502  13.926  0.066
n2.137  2454675.870999  1.225    13.513  13.927  0.066
n2.138  2454675.872654  1.219    13.715  13.938  0.066
n2.139  2454675.873465  1.216    13.807  13.938  0.066
n2.140  2454675.874424  1.213    13.791  13.942  0.066
n2.141  2454675.875234  1.210    13.733  13.940  0.066
n2.142  2454675.876045  1.207    13.819  13.942  0.066
n2.143  2454675.876857  1.205    13.714  13.941  0.066
n2.144  2454675.877668  1.202    13.643  13.946  0.066
n2.145  2454675.878481  1.200    13.607  13.947  0.066
n2.146  2454675.879292  1.197    13.777  13.949  0.066
n2.147  2454675.880103  1.195    13.907  13.953  0.066
n2.148  2454675.880914  1.192    14.013  13.956  0.066
n2.149  2454675.881725  1.190    14.317  13.954  0.066
n2.150  2454675.882537  1.187    14.113  13.959  0.066
n2.151  2454675.883349  1.185    14.069  13.959  0.066
n2.152  2454675.884161  1.183    13.917  13.953  0.066
n2.153  2454675.884971  1.181    13.652  13.965  0.066
n2.154  2454675.885782  1.179    13.548  13.965  0.066
n2.155  2454675.886593  1.176    13.713  13.967  0.066
n2.176  2454675.905127  1.138    13.605  14.000  0.066
n2.177  2454675.905938  1.137    13.542  13.998  0.066
n2.178  2454675.906749  1.136    13.871  13.998  0.066
n2.179  2454675.907560  1.134    13.931  13.999  0.066
n2.180  2454675.908373  1.133    13.603  14.000  0.066
n2.181  2454675.909184  1.132    13.580  14.000  0.066
n2.182  2454675.909995  1.131    13.538  14.003  0.066
n2.183  2454675.910808  1.130    13.507  14.005  0.066
n2.184  2454675.911620  1.129    13.527  14.003  0.066
n2.185  2454675.912431  1.128    13.512  14.003  0.066
n2.186  2454675.913243  1.127    13.513  14.007  0.066
n2.187  2454675.914054  1.126    13.531  14.005  0.066
n2.188  2454675.914865  1.125    13.527  14.009  0.066
n2.189  2454675.915676  1.124    13.526  14.008  0.066
n2.190  2454675.916487  1.124    13.531  14.010  0.066
n2.191  2454675.917299  1.123    13.551  14.011  0.066
n2.192  2454675.918110  1.122    13.546  14.011  0.066
n2.193  2454675.918921  1.121    13.550  14.011  0.066
n2.194  2454675.919732  1.121    13.556  14.015  0.066
n2.195  2454675.920543  1.120    13.597  14.014  0.066
n2.238  2454675.956223  1.120    13.582  14.038  0.066
n2.239  2454675.957034  1.121    13.556  14.032  0.066
n2.240  2454675.957845  1.122    13.551  14.036  0.066
n2.241  2454675.958656  1.123    13.550  14.033  0.066
n2.242  2454675.959467  1.123    13.539  14.029  0.066
n2.243  2454675.960279  1.124    13.543  14.035  0.066
n2.244  2454675.961090  1.125    13.532  14.029  0.066
n2.245  2454675.961901  1.126    13.543  14.032  0.066
n2.246  2454675.962713  1.127    13.539  14.030  0.066
n2.247  2454675.963523  1.128    13.536  14.029  0.066
n2.248  2454675.964334  1.129    13.546  14.028  0.066
n2.249  2454675.965145  1.130    13.545  14.027  0.066
n2.250  2454675.965956  1.131    13.537  14.026  0.066
n2.251  2454675.966767  1.132    13.573  14.024  0.066
n2.252  2454675.967579  1.133    13.655  14.024  0.066
n2.253  2454675.968390  1.134    13.539  14.023  0.066
n2.254  2454675.969202  1.135    13.542  14.021  0.066
n2.255  2454675.970013  1.137    13.531  14.019  0.066
n2.256  2454675.970824  1.138    13.553  14.020  0.066
n2.257  2454675.971635  1.139    13.537  14.020  0.066
n2.258  2454675.972446  1.140    13.529  14.019  0.066
n2.259  2454675.973258  1.142    13.522  14.017  0.066
n2.260  2454675.974069  1.143    13.515  14.016  0.066
n2.316  2454676.032106  1.352    13.337  13.854  0.066
n2.317  2454676.032917  1.357    13.349  13.851  0.066
n2.318  2454676.033727  1.362    13.350  13.849  0.066
n2.319  2454676.034539  1.367    13.335  13.850  0.066
n2.320  2454676.035349  1.372    13.341  13.845  0.066
n2.321  2454676.036161  1.377    13.357  13.846  0.066
n2.322  2454676.036971  1.383    13.344  13.838  0.066
n2.323  2454676.037782  1.388    13.326  13.841  0.066
n2.324  2454676.038594  1.393    13.329  13.841  0.066
n2.325  2454676.039405  1.399    13.329  13.838  0.066
n2.326  2454676.040216  1.404    13.319  13.833  0.066
n2.327  2454676.041027  1.410    13.346  13.831  0.066
n2.328  2454676.041839  1.416    13.368  13.826  0.066
n2.329  2454676.042650  1.422    13.332  13.827  0.066
n2.330  2454676.043462  1.428    13.341  13.825  0.066
n2.331  2454676.044273  1.434    13.322  13.827  0.066
n2.332  2454676.045084  1.440    13.312  13.823  0.066
n2.333  2454676.045896  1.446    13.324  13.822  0.066
n2.334  2454676.046707  1.452    13.327  13.815  0.066
n2.335  2454676.047518  1.459    13.300  13.818  0.066
n3.077  2454676.797014  1.760    13.338  13.186  0.096
n3.078  2454676.798592  1.738    13.367  13.190  0.096
n3.079  2454676.799172  1.731    13.383  13.190  0.096
n3.080  2454676.799752  1.723    13.392  13.187  0.096
n3.081  2454676.800333  1.716    13.400  13.191  0.096
n3.082  2454676.800914  1.708    13.429  13.189  0.096
n3.083  2454676.801496  1.701    13.426  13.192  0.096
n3.084  2454676.802078  1.693    13.436  13.186  0.096
n3.085  2454676.802658  1.686    13.445  13.186  0.096
n3.086  2454676.803240  1.679    13.493  13.204  0.096
n3.087  2454676.803822  1.672    13.485  13.188  0.096
n3.088  2454676.804405  1.665    13.493  13.194  0.096
n3.089  2454676.804987  1.658    13.515  13.189  0.096
n3.090  2454676.805572  1.651    13.303  13.192  0.096
n3.091  2454676.806153  1.644    13.318  13.195  0.096
n3.092  2454676.806734  1.638    13.317  13.192  0.096
n3.093  2454676.807314  1.631    13.337  13.194  0.096
n3.094  2454676.807895  1.625    13.352  13.195  0.096
n3.095  2454676.808475  1.619    13.367  13.194  0.096
n3.096  2454676.809059  1.612    13.376  13.197  0.096
n3.097  2454676.809641  1.606    13.389  13.198  0.096
n3.098  2454676.810478  1.597    13.403  13.198  0.096
n3.099  2454676.811059  1.591    13.413  13.199  0.096
n3.100  2454676.811639  1.585    13.425  13.198  0.096
n3.101  2454676.812220  1.579    13.443  13.196  0.096
n3.102  2454676.812801  1.573    13.456  13.202  0.096
n3.103  2454676.813383  1.567    13.464  13.196  0.096
n3.104  2454676.813966  1.561    13.476  13.193  0.096
n3.105  2454676.814548  1.556    13.506  13.195  0.096
n3.106  2454676.815131  1.550    13.296  13.199  0.096
n3.107  2454676.815713  1.544    13.317  13.198  0.096
n3.108  2454676.816296  1.538    13.319  13.201  0.096
n3.109  2454676.816876  1.533    13.331  13.204  0.096
n3.110  2454676.817457  1.528    13.353  13.208  0.096
n3.111  2454676.818040  1.522    13.370  13.205  0.096
n3.112  2454676.818622  1.517    13.374  13.210  0.096
n3.113  2454676.819203  1.512    13.389  13.209  0.096
n3.114  2454676.819786  1.507    13.394  13.203  0.096
n3.115  2454676.820368  1.502    13.412  13.206  0.096
n3.116  2454676.820947  1.497    13.445  13.210  0.096
n3.117  2454676.821532  1.491    13.452  13.215  0.096
n3.158  2454676.846644  1.320    13.315  13.250  0.096
n3.159  2454676.847229  1.316    13.334  13.254  0.096
n3.160  2454676.847810  1.313    13.349  13.261  0.096
n3.161  2454676.848391  1.310    13.378  13.265  0.096
n3.162  2454676.848972  1.307    13.393  13.270  0.096
n3.163  2454676.849555  1.304    13.402  13.266  0.096
n3.164  2454676.850134  1.301    13.413  13.273  0.096
n3.165  2454676.850719  1.299    13.439  13.272  0.096
n3.166  2454676.851300  1.296    13.440  13.268  0.096
n3.167  2454676.851882  1.293    13.362  13.268  0.096
n3.168  2454676.852464  1.290    13.319  13.271  0.096
