full_name,pdes,name,H,diameter,extent,rot_per,H_sigma,diameter_sigma,moid
322705 (2000 DK8),322705,,19.3,,,,,,0.125054
322756 (2001 CK32),322756,,18.9,,,,,,0.0769654
322763 (2001 FA7),322763,,16.8,,,,,,0.102014
322775 (2001 HA8),322775,,17.2,,,,,,0.123303
322913 (2002 CM1),322913,,16.9,,,,,,0.578413
322966 (2002 KF4),322966,,16.9,,,,,,0.220058
323179 (2003 HR32),323179,,18.2,,,,,,0.141353
323300 (2003 UD22),323300,,19.6,,,,,,0.136391
325102 (2008 EY5),325102,,20.1,,,,,,0.0787168
325395 (2009 CQ5),325395,,17.6,,,,,,0.0486384
325769 (2010 LY63),325769,,17.9,,,,,,0.10965
326290 Akhenaten (1998 HE3),326290,Akhenaten,21.8,,,,,,0.00341008
326291 (1998 HM3),326291,,19,,,,,,0.191538
326302 (1998 VN),326302,,20.5,,,,,,0.0507709
326332 (2000 GS146),326332,,17.9,,,,,,0.213291
326354 (2000 SJ344),326354,,22.6,,,,,,0.0466599
326386 (2001 OA14),326386,,18.4,,,,,,0.244724
326388 (2001 QD96),326388,,18.2,,,,,,0.23271
326683 (2002 WP),326683,,18.3,,,,,,0.151621
326732 (2003 HB6),326732,,17.6,,,9.436,,,0.152881
326742 (2003 QN47),326742,,18.1,,,,,,0.137348
326777 (2003 SV222),326777,,17.6,,,,,,0.228715
326946 (2004 EN20),326946,,18.4,,,,,,0.343661
327140 (2005 EE224),327140,,19.9,,,,,,0.12009
328059 (2007 UB6),328059,,19.5,,,,,,0.273384
329275 (1999 VP6),329275,,19.9,,,,,,0.0937385
329291 (2000 JB6),329291,,19.2,,,,,,0.152379
329338 (2001 JW2),329338,,19.1,,,,,,0.0821022
329340 (2001 LM5),329340,,19.2,,,,,,0.221642
329343 (2001 QG96),329343,,19.7,,,,,,0.247564
329390 (2001 YP2),329390,,19,,,,,,0.264495
329395 (2002 AC),329395,,17.9,,,,,,0.0909631
329437 (2002 OA22),329437,,19.4,,,10.5,,,0.0349425
329520 (2002 SV),329520,,19.8,,,,,,0.0913286
329571 (2002 VC92),329571,,18.9,,,,,,0.150254
329614 (2003 KU2),329614,,17.7,,,3.278,,,0.0276561
329669 (2003 UD8),329669,,16.6,,,,,,0.275582
329713 (2003 WO7),329713,,18.9,,,,,,0.241125
329770 (2004 JA),329770,,17.9,,,52.1,,,0.137963
329774 (2004 LE),329774,,16.6,,,,,,0.564249
329915 (2005 MB),329915,,17.1,,,,,,0.0683409
330233 (2006 KV86),330233,,18.7,,,,,,0.000918045
330659 (2008 GG2),330659,,22.7,,,,,,0.14494
330809 (2008 VK14),330809,,19.3,,,,,,0.0844717
330825 (2008 XE3),330825,,16.3,,,4.409,,,0.190381
331471 (1984 QY1),331471,,15.4,,,,,,0.13395
331509 (1999 YA),331509,,18.2,,,,,,0.368004
331510 (2000 AE6),331510,,17.5,,,,,,0.312898
331769 (2003 BQ35),331769,,19.9,,,,,,0.0992434
331792 (2003 MT2),331792,,16,,,,,,0.370866
331876 (2004 CL),331876,,20.5,,,,,,0.0234532
331963 (2004 XK35),331963,,17.6,,,,,,0.293242
331990 (2005 FD),331990,,19.6,,,,,,0.0967061
331999 (2005 HA8),331999,,19.2,,,,,,0.226333
332408 (2007 MM13),332408,,17.8,,,,,,0.16212
332446 (2008 AF4),332446,,19.7,,,,,,0.00198767
332775 (2009 VO24),332775,,19.7,,,,,,0.0736076
333284 (1999 PJ1),333284,,18.1,,,6.2013,,,0.307101
333311 (2001 MR3),333311,,19.1,,,,,,0.291724
333358 (2001 WN1),333358,,19.5,,,3.21,,,0.127385
333478 (2004 SD20),333478,,18.2,,,,,,0.181204
333480 (2004 TC10),333480,,20.2,,,,,,0.138637
333510 (2005 MD),333510,,18.7,,,,,,0.255703
333521 (2005 PO),333521,,19.9,,,,,,0.0176589
333555 (2005 VY17),333555,,17.3,,,,,,0.294235
333578 (2006 KM103),333578,,20,,,,,,0.013572
333707 (2008 YT30),333707,,19.4,,,,,,0.0717018
333755 (2010 VC1),333755,,19.4,,,,,,0.332311
333888 (1998 ST4),333888,,16.4,,,,,,0.154094
333889 (1998 SV4),333889,,18.1,,,,,,0.335199
333908 (1999 TN12),333908,,17.5,,,,,,0.191907
334412 (2002 EZ2),334412,,20.1,,,,,,0.187989
334673 (2003 AL18),334673,,17.7,,,2.484,,,0.133926
335746 (2007 EJ26),335746,,18.3,,,,,,0.260168
335758 (2007 EM88),335758,,19.6,,,,,,0.221654
337053 (1996 XW1),337053,,19.1,,,,,,0.242463
337069 (1998 FX134),337069,,18.5,,,,,,0.294266
337075 (1998 QC1),337075,,19.7,,,,,,0.0173454
337084 (1998 SE36),337084,,19.7,,,,,,0.212416
337118 (1999 TX2),337118,,18.2,,,,,,0.197358
337119 (1999 TK12),337119,,18.6,,,,,,0.19539
337228 (2000 FL1),337228,,15.4,,,,,,0.306118
337248 (2000 RH60),337248,,20,,,,,,0.175599
337252 (2000 SD8),337252,,20.7,,,,,,0.0865939
337345 (2001 KO20),337345,,20.6,,,,,,0.148265
337557 (2001 SF262),337557,,18.6,,,,,,0.291686
337558 (2001 SG262),337558,,19.3,,,,,,0.0313686
337866 (2001 WL15),337866,,18.2,,,,,,0.0649866
338049 (2002 NY31),338049,,17.2,,,,,,0.316665
338172 (2002 RV112),338172,,17.4,,,,,,0.149672
338176 (2002 RC118),338176,,16.8,,,9.98,,,0.365028
338292 (2002 UA31),338292,,19,,,,,,0.191583
338347 (2002 XG4),338347,,18.2,,,,,,0.309763
338567 (2003 SJ84),338567,,19.4,,,,,,0.349096
339492 (2005 GQ21),339492,,18.2,,,,,,0.159455
339714 (2005 ST1),339714,,20.4,,,,,,0.127432
339715 (2005 SS4),339715,,19.1,,,,,,0.189983
340048 (2005 VT5),340048,,19,,,,,,0.112111
340291 (2006 CV),340291,,19.8,,,,,,0.0586859
340666 (2006 RO36),340666,,17.8,,,,,,0.111646
341050 (2007 HZ),341050,,20.3,,,,,,0.20196
341816 (2007 YK),341816,,17.5,,,,,,0.49926
341843 (2008 EV5),341843,,20,0.45,,3.725,,0.04,0.0136839
342866 (2008 YU32),342866,,20.2,,,,,,0.00645057
343098 (2009 DV42),343098,,18.7,,,9.658,,,0.194168
343158 (2009 HC82),343158,,16.1,,,,,,0.142177
343166 (2009 SO103),343166,,17.3,,,,,,0.146565
344074 (1997 UH9),344074,,18.7,,,,,,0.222869
344076 (1998 HJ3),344076,,18.8,,,,,,0.0116357
344133 (2000 AD6),344133,,18.4,,,,,,0.316536
344143 (2000 JQ3),344143,,18.2,,,,,,0.266081
344756 (2003 VO2),344756,,20.9,,,,,,0.215565
345646 (2006 TN),345646,,19.7,,,,,,0.0983358
345705 (2006 VB14),345705,,18.5,,,3.25,,,0.0780935
345722 (2007 BG29),345722,,18,,,,,,0.087659
345813 (2007 HX4),345813,,17.7,,,,,,0.104637
345853 (2007 PU11),345853,,16.2,,,56.8,,,0.271945
347634 (2001 SW269),347634,,19.5,,,,,,0.229173
347813 (2002 NP1),347813,,17.6,,,,,,0.081127
348304 (2005 AN19),348304,,18.1,,,,,,0.392325
348306 (2005 AY28),348306,,21.5,,,,,,0.03582
348314 (2005 BC),348314,,17.9,,,,,,0.0446017
348400 (2005 JF21),348400,,17.1,,,,,,0.0442284
348461 (2005 SH19),348461,,17.1,,,,,,0.490169
348595 (2005 XE1),348595,,18.9,,,,,,0.28774
348776 (2006 KZ37),348776,,19.1,,,,,,0.0959104
349063 (2006 XA),349063,,17.3,,,,,,0.0954827
349068 (2006 YT13),349068,,18.3,,,2.433,,,0.0378484
349074 (2007 BM8),349074,,18.3,,,,,,0.406748
349219 (2007 SV11),349219,,18.2,,,,,,0.110894
349507 (2008 QY),349507,,18.6,,,,,,0.0308346
349925 (2009 WC26),349925,,17.4,,,,,,0.198158
349928 (2009 WD106),349928,,18.6,,,,,,0.157873
350462 (1998 KG3),350462,,22.1,,,,,,0.0961262
350513 (2000 BG19),350513,,17.9,1.77,,,,,0.279211
350523 (2000 EA14),350523,,21.1,,,,,,0.0437268
350536 (2000 QY69),350536,,19.7,,,,,,0.275435
350713 (2001 XP88),350713,,20.6,,,,,,0.137322
350751 (2002 AW),350751,,20.8,,,,,,0.00484955
350872 (2002 PG43),350872,,18.2,,,,,,0.290352
350964 (2003 BT35),350964,,18.6,,,,,,0.213811
350988 (2003 GW),350988,,16.8,,,,,,0.32352
351278 (2004 SB20),351278,,18.8,,,,,,0.268632
351331 (2004 XH29),351331,,18.8,,,,,,0.273223
351340 (2004 YC5),351340,,18.1,,,,,,0.138145
351370 (2005 EY),351370,,17.2,,,,,,0.233942
351508 (2005 RN33),351508,,19.6,,,,,,0.320567
351545 (2005 TE15),351545,,19.7,,,,,,0.0547584
351815 (2006 OF15),351815,,18.4,,,,,,0.422225
352102 (2007 AG12),352102,,19.6,,,,,,0.0486091
352143 (2007 LR32),352143,,17.2,,,2.4162,,,0.315759
353190 (2009 ST),353190,,19.7,,,,,,0.327391
353938 (1998 QR15),353938,,18.1,,,2.454,,,0.259855
353947 (1999 CT8),353947,,18.7,,,,,,0.193173
354030 (2001 RB18),354030,,18.5,,,,,,0.074171
354101 (2001 YF1),354101,,19.2,,,,,,0.124511
354127 (2002 BP26),354127,,19.2,,,,,,0.0563983
354182 (2002 DU3),354182,,20.7,,,,,,0.00733319
354332 (2003 AD1),354332,,18.2,,,,,,0.315421
354663 (2005 LY19),354663,,16.3,,,,,,0.333491
354713 (2005 SG19),354713,,16.6,,,,,,0.280354
354876 (2006 BG55),354876,,18.5,,,,,,0.206867
354952 (2006 FJ9),354952,,19.3,,,,,,0.148371
355046 (2006 SO19),355046,,19.5,,,,,,0.107744
355256 (2007 KN4),355256,,16.8,,,,,,0.275957
355770 (2008 RE80),355770,,18.3,,,,,,0.136202
356285 (2010 DE),356285,,17.3,,,,,,0.499528
356394 (2010 QD2),356394,,17.4,,,,,,0.0604903
356991 (1998 QA1),356991,,18.9,,,,,,0.00252422
357005 (1999 HA2),357005,,17.9,,,,,,0.11426
357022 (1999 YG3),357022,,19.1,,,,,,0.0416386
357024 (1999 YR14),357024,,18.9,,,,,,0.00714552
357028 (2000 EJ26),357028,,19.4,,,,,,0.00730854
357058 (2001 OG25),357058,,19.9,,,,,,0.0952286
357311 (2003 DC14),357311,,16.6,,,,,,0.264036
357414 (2003 XE),357414,,18.3,,,,,,0.134481
357439 (2004 BL86),357439,,18.9,,,,,,0.00800674
357594 (2004 XL35),357594,,19.5,,,,,,0.00734162
357618 (2005 EM30),357618,,19,,,,,,0.0578738
357621 (2005 EG94),357621,,18.4,,,,,,0.0565707
357622 (2005 EY95),357622,,20.3,,,,,,0.0399243
358453 (2007 EH88),358453,,19.8,,,,,,0.133374
358471 (2007 NS4),358471,,19.1,,,,,,0.0398508
358744 (2008 CR118),358744,,18.8,,,,,,0.0287873
359170 (2009 CN5),359170,,20,,,,,,0.035319
359242 (2009 FT),359242,,18.9,,,,,,0.122122
359369 (2009 YG),359369,,18.5,,,,,,0.0128192
359592 (2010 VA1),359592,,19.8,,,,,,0.0923318
360191 (1988 TA),360191,,20.6,0.4,,,,,0.00580936
360192 (1991 FB),360192,,19,,,,,,0.0635981
360433 (2002 JR9),360433,,17.7,,,8.452,,,0.0727556
360502 (2003 EO16),360502,,20.5,,,,,,0.136869
361071 (2006 AO4),361071,,15.4,,,4.093,,,0.204726
361123 (2006 GW2),361123,,20.3,,,,,,0.207861
361518 (2007 FD),361518,,17.1,,,,,,0.098432
361532 (2007 HF44),361532,,19.2,,,,,,0.116461
361538 (2007 JZ20),361538,,18.5,,,,,,0.0668371
361611 (2007 TY18),361611,,18.2,,,,,,0.289047
361689 (2007 VY7),361689,,19.3,,,,,,0.0530018
361754 (2007 YV29),361754,,18.9,,,,,,0.0468471
361861 (2008 ED69),361861,,17,,,,,,0.28151
362310 (2009 UM3),362310,,18,,,,,,0.11811
363024 (1998 OK1),363024,,19.2,,,,,,0.0396381
363027 (1998 ST27),363027,,19.5,,,3,,,0.0093758
363067 (2000 CO101),363067,,19.1,,,5.12,,,0.0216291
363069 (2000 EV106),363069,,19.1,,,,,,0.279719
363071 (2000 GD147),363071,,20.3,,,,,,0.0877504
363075 (2000 OG8),363075,,17.7,,,4.0734,,,0.240316
363084 (2000 RD53),363084,,19.9,,,14.96,,,0.0238335
363116 (2001 GQ2),363116,,20.1,,,,,,0.00576536
363163 (2001 SE286),363163,,17.8,,,9.323,,,0.13858
363267 (2002 GS),363267,,19.9,,,,,,0.0522902
363298 (2002 KL3),363298,,18.1,,,,,,0.0646136
363305 (2002 NV16),363305,,21.4,,,0.9067,,,0.0286458
363344 (2002 QC7),363344,,20,,,,,,0.0491479
363505 (2003 UC20),363505,,18.1,,,,,,0.0351499
363599 (2004 FG11),363599,,21,,,20,,,0.0210556
363617 (2004 KK17),363617,,18.3,,,,,,0.312896
363626 (2004 RA11),363626,,18.7,,,,,,0.395214
363734 (2004 XN50),363734,,18.7,,,,,,0.0078978
363790 (2005 JE46),363790,,17.7,,,,,,0.0291975
363814 (2005 ND7),363814,,17.8,,,,,,0.190931
363831 (2005 PY16),363831,,19.2,,,,,,0.041828
364136 (2006 CJ),364136,,20.2,,,,,,0.0255333
364762 (2007 XC10),364762,,19.4,,,,,,0.409651
364877 (2008 EM9),364877,,17.4,,,,,,0.134474
365014 (2008 OX2),365014,,20.2,,,,,,0.0320955
365071 (2009 AV),365071,,18.1,,,,,,0.020869
365246 (2009 NE),365246,,16,,,,,,0.441577
365424 (2010 KX7),365424,,21.9,,,,,,0.0329323
365449 (2010 NJ1),365449,,20.1,,,,,,0.154681
366470 (2002 FD),366470,,19.2,,,,,,0.232226
366615 (2003 LO6),366615,,16.9,,,,,,0.221919
366733 (2004 BG121),366733,,18.8,,,,,,0.0705329
366746 (2004 LJ),366746,,20.2,,,,,,0.0273434
366774 (2004 TB18),366774,,17.7,,,,,,0.0199786
366833 (2005 MC),366833,,16.6,,,,,,0.222105
367248 (2007 MK13),367248,,20,,,5.286,,,0.0334633
367390 (2008 MB5),367390,,19.1,,,,,,0.134927
367525 (2009 QZ6),367525,,17.8,,,,,,0.281091
367638 (2009 WR6),367638,,18.4,,,,,,0.345252
367684 (2010 OS22),367684,,18.1,,,,,,0.15932
367789 (2011 AG5),367789,,21.8,,,,,,0.000289286
367943 Duende (2012 DA14),367943,Duende,24,,,9.485,,,0.000321793
368184 (2000 RN77),368184,,19.5,,,,,,0.106914
368203 (2001 KO2),368203,,20.4,,,,,,0.0107893
368565 (2004 FE5),368565,,20,,,,,,0.035372
368664 (2005 JA22),368664,,18.7,,,,,,0.189792
368790 (2005 XK8),368790,,19.8,,,,,,0.219456
368949 (2006 YN),368949,,19.6,,,,,,0.216995
369057 (2008 DK5),369057,,21.3,,,,,,0.00907694
369264 (2009 MS),369264,,16.3,,,,,,0.0431087
369296 (2009 SU19),369296,,17.9,,,,,,0.12691
369452 (2010 LG14),369452,,17.9,,,,,,0.369429
369454 (2010 NZ1),369454,,19.4,,,,,,0.274691
369983 (1998 QB28),369983,,20.2,,,,,,0.26939
369984 (1998 QR52),369984,,18.7,,,234,,,0.210965
369986 (1998 SO),369986,,20.6,,,,,,0.198422
370037 (2000 SV20),370037,,19,,,,,,0.206534
370061 (2000 YO29),370061,,17.4,,,,,,0.335245
370307 (2002 RH52),370307,,16.7,,,4.222,,,0.221184
370688 (2004 GD28),370688,,17.3,,,,,,0.443141
370702 (2004 NC9),370702,,17.1,,,,,,0.420755
371336 (2006 KD1),371336,,17.4,,,,,,0.412847
371660 (2007 CN26),371660,,21.1,,,,,,0.00248482
371973 (2008 GE1),371973,,19.5,,,,,,0.272769
373135 (2011 SD173),373135,,19.5,,,,,,0.00229908
373393 (1972 RB),373393,,19.1,,,,,,0.101232
373428 (1999 TC5),373428,,18.5,,,,,,0.185802
373503 (2001 CK42),373503,,20,,,,1.0081,,0.0611716
373579 (2002 AW11),373579,,18.7,,,,,,0.179139
374038 (2004 HW),374038,,17,,,2.52,,,0.00900033
374158 (2004 UL),374158,,18.8,,,,,,0.0185234
374188 (2005 AD3),374188,,17.3,,,,,,0.322369
374267 (2005 LW),374267,,18.9,,,,,,0.0519889
374449 (2005 XD1),374449,,19.4,,,,,,0.150207
374851 (2006 VV2),374851,,16.8,,,2.41,,,0.0103119
374855 (2006 VQ13),374855,,20,,,,,,0.00837428
375054 (2007 PF6),375054,,20.6,,,,,,0.0306492
375103 (2007 TD71),375103,,18.4,,,,,,0.0306662
375505 (2008 UN90),375505,,20,,,,,,0.264781
375657 (2009 CP5),375657,,21.5,,,,,,0.0576337
376707 (1995 OO),376707,,17.1,,,,,,0.291505
376729 (1998 YB8),376729,,19.1,,,,,,0.306054
376775 (2000 HW23),376775,,18.4,,,,,,0.261702
376778 (2000 JY8),376778,,17.1,,,,,,0.177512
376788 (2000 RV37),376788,,19.2,,,,,,0.142011
376848 (2001 RY47),376848,,19.4,,,,,,0.0816016
376864 (2001 TP103),376864,,19.9,,,,,,0.186211
376879 (2001 WW1),376879,,22,,,,,,0.108516
376883 (2001 XE1),376883,,19.2,,,,,,0.427318
377097 (2002 WQ4),377097,,19.6,,,,,,0.0195259
377732 (2005 XJ8),377732,,17,,,,,,0.0177893
377972 (2006 MF10),377972,,19.4,,,,,,0.269604
378124 (2006 VT2),378124,,18.2,,,,,,0.248967
378160 (2006 WX1),378160,,19.6,,,,,,0.0290359
378358 (2007 LD),378358,,19.1,,,,,,0.037466
378526 (2007 VH186),378526,,20.2,,,,,,0.27995
378610 (2008 FT6),378610,,17.5,,,,,,0.298349
378842 (2008 TD4),378842,,19.7,,,,,,0.0905239
380128 (1997 WB21),380128,,20.2,,,,,,0.0508173
380160 (2000 JO78),380160,,17.7,,,,,,0.195679
380188 (2000 WC67),380188,,18.6,,,,,,0.230542
380205 (2001 CA32),380205,,19.5,,,,0.95094,,0.301111
380321 (2002 HF8),380321,,18.1,,,,,,0.186523
380359 (2002 TN30),380359,,16.9,,,,,,0.492124
380455 (2003 UL3),380455,,17.9,,,,,,0.229629
380476 (2003 YO1),380476,,19.4,,,,,,0.227616
380524 (2004 GY),380524,,20.1,,,,,,0.122592
380636 (2004 XN14),380636,,19.7,,,,,,0.00326129
380818 (2005 YV128),380818,,20.5,,,,,,0.154469
380929 (2006 HU30),380929,,19.6,,,,,,0.117038
380981 (2006 SU131),380981,,18.6,,,,,,0.0326105
381181 (2007 LV19),381181,,19.7,,,,,,0.0883984
381564 (2008 UW5),381564,,18.1,,,,,,0.144966
381677 (2009 BJ81),381677,,18.3,,,,,,0.099197
381906 (2010 CL19),381906,,17.8,,,,,,0.0118169
381989 (2010 HR80),381989,,19.9,,,,,,0.104984
382395 (1990 SM),382395,,16.2,,,,,,0.0311526
382406 (1996 AJ1),382406,,20.2,,,,,,0.00476298
382459 (2000 ST20),382459,,19.1,,,,,,0.407159
382503 (2001 RE8),382503,,18.8,,,,,,0.16274
382625 (2002 PC130),382625,,18.3,,,,,,0.393517
382745 (2003 CC),382745,,20.3,,,,,,0.0360034
382758 (2003 GY),382758,,20.2,,,,,,0.0230698
382825 (2003 XB22),382825,,19.3,,,,,,0.0134156
382875 (2004 KE1),382875,,21.6,,,,,,0.0722336
383610 (2007 JJ35),383610,,18.4,,,,,,0.275711
385186 (1994 AW1),385186,,17.5,,,2.5193,,,0.0190858
385252 (2001 EB18),385252,,19.3,,,,,,0.0297352
385268 (2001 RC12),385268,,15.7,3.2,,,,0.4,0.166688
385343 (2002 LV),385343,,16.6,,,6.195,,,0.00963958
385402 (2002 WZ2),385402,,17,,,,,,0.131511
385423 (2003 DE6),385423,,19.2,,,,,,0.291845
385497 (2004 DD),385497,,18.8,,,,,,0.131273
385580 (2004 XO14),385580,,16.1,,,8.4172,,,0.463731
385605 (2005 EJ225),385605,,18.9,,,,,,0.017214
385843 (2006 JY25),385843,,20.4,,,7.8,,,0.0668517
386259 (2008 EJ1),386259,,15.7,,,,,,0.27517
386281 (2008 RJ1),386281,,17.9,,,,,,0.232501
386298 (2008 SR7),386298,,20,,,,,,0.134402
386454 (2008 XM),386454,,19.9,,,,,,0.00474011
386504 (2009 BP58),386504,,18.6,,,,,,0.207305
386720 (2009 XC2),386720,,17,,,,,,0.394265
386847 (2010 LR33),386847,,18,,,,,,0.0293519
387505 (1998 KN3),387505,,18.4,,,,,,0.0178148
387648 (2002 RT25),387648,,19.4,,,,,,0.32953
387668 (2002 SZ),387668,,20.4,,,,,,0.00254416
387717 (2003 DN4),387717,,19.2,,,,,,0.287731
387733 (2003 GS),387733,,19,,,,,,0.0867711
387746 (2003 MH4),387746,,20,,,,,,0.0031551
387793 (2003 WL25),387793,,16.6,,,,,,0.304265
387816 (2004 FM17),387816,,19.4,,,,,,0.0600401
387871 (2004 RD252),387871,,19,,,,,,0.118534
388185 (2006 CX10),388185,,17.7,,,,,,0.250049
388188 (2006 DP14),388188,,18.9,,,,,,0.0156739
388189 (2006 DS14),388189,,20.4,,,,,,0.156171
388468 (2007 DB83),388468,,18.3,,,,,,0.222085
388567 (2007 QX14),388567,,18,,,,,,0.266769
388798 (2008 BU2),388798,,18.4,,,,,,0.252902
388838 (2008 EZ5),388838,,19.5,,,,,,0.077714
388945 (2008 TZ3),388945,,20.4,,,,,,0.0166115
389694 (2011 QD48),389694,,18.2,,,,,,0.0194035
       (1979 XB),1979 XB,,18.6,,,,,,0.0244152
       (1982 YA),1982 YA,,18.1,,,,,,0.211285
       (1983 LC),1983 LC,,19.3,,,,,,0.0238333
       (1985 WA),1985 WA,,18.1,,,,,,0.137216
       (1986 NA),1986 NA,,19.8,,,,,,0.164465
       (1987 SF3),1987 SF3,,18.5,,,,,,0.0509009
       (1987 WC),1987 WC,,19.9,,,,,,0.114979
       (1988 NE),1988 NE,,18.2,,,,,,0.238096
       (1989 AZ),1989 AZ,,19.6,,,,,,0.0553113
       (1989 UP),1989 UP,,20.5,0.3,,6.98,,,0.00557369
       (1989 VB),1989 VB,,19.7,0.4,,16,,,0.0167424
       (1990 UN),1990 UN,,23.5,,,,,,0.0219444
       (1990 UO),1990 UO,,19.6,,,,,,0.203884
       (1990 UP),1990 UP,,20.4,0.3,,20,,,0.199722
       (1991 BA),1991 BA,,28.6,,,,,,0.000342446
       (1991 GO),1991 GO,,19.9,,,,,,0.0248072
       (1991 JR),1991 JR,,23.4,,,,,,0.0440669
       (1991 RJ2),1991 RJ2,,19.4,,,,,,0.260431
       (1991 TT),1991 TT,,26,,,,,,0.0306859
       (1991 TU),1991 TU,,28.4,,,,,,0.00447805
       (1991 TB2),1991 TB2,,17.1,,,,,,0.111104
       (1991 TF3),1991 TF3,,19.2,,,,,,0.0818569
       (1991 VA),1991 VA,,26.5,,,,,,0.00714515
       (1991 VG),1991 VG,,28.5,,,,,,0.00457204
       (1991 XA),1991 XA,,23.7,,,,,,0.047062
       (1991 XB),1991 XB,,18.8,,,,,,0.221387
       (1992 BC),1992 BC,,20,,,,,,0.103772
       (1992 DU),1992 DU,,25.3,,,,,,0.0382157
       (1992 JD),1992 JD,,25,,,,,,0.0164186
       (1992 SZ),1992 SZ,,20.1,,,,,,0.198641
       (1992 YD3),1992 YD3,,26.4,,,,,,0.0232242
       (1993 BD2),1993 BD2,,19,,,,,,0.447753
       (1993 BD3),1993 BD3,,26.2,,,,,,0.0374645
       (1993 BU3),1993 BU3,,21.5,,,,,,0.197162
       (1993 DA),1993 DA,,26.4,,,,,,0.0342032
       (1993 FS),1993 FS,,19.6,,,,,,0.287748
       (1993 FA1),1993 FA1,,25.9,,,,,,0.0252933
       (1993 GD),1993 GD,,20.8,,,,,,0.142101
       (1993 HC),1993 HC,,20.6,,,,,,0.0678464
       (1993 HD),1993 HD,,25.1,,,,,,0.000118504
       (1993 HP1),1993 HP1,,27.1,,,,,,0.00479757
       (1993 KA),1993 KA,,26,,,,,,0.00425709
       (1993 KA2),1993 KA2,,29,,,,,,0.000245909
       (1993 RA),1993 RA,,19.2,,,,,,0.169171
       (1993 TZ),1993 TZ,,26,,,,,,0.00557244
       (1993 TQ2),1993 TQ2,,19.9,,,,,,0.199275
       (1993 UA),1993 UA,,25.4,,,,,,0.00341981
       (1993 UD),1993 UD,,20.2,,,,,,0.18231
       (1993 VC),1993 VC,,20.5,,,,,,0.307429
       (1994 BB),1994 BB,,23.5,,,,,,0.178178
       (1994 CB),1994 CB,,21,,,8.676,,,0.0552544
       (1994 CJ1),1994 CJ1,,21.3,,,,,,0.0315896
       (1994 EK),1994 EK,,20.3,,,,,,0.031329
       (1994 EU),1994 EU,,25.9,,,,,,0.0301986
       (1994 ES1),1994 ES1,,28.5,,,,,,0.000605218
       (1994 FA),1994 FA,,25.2,,,,,,0.043012
       (1994 GK),1994 GK,,24.2,,,,,,0.00299336
       (1994 GL),1994 GL,,24.4,,,,0.6031,,0.0122185
       (1994 GV),1994 GV,,27.4,,,,,,0.000319412
       (1994 JX),1994 JX,,17.1,,,,,,0.179805
       (1994 NE),1994 NE,,19.8,,,,,,0.0174256
       (1994 NK),1994 NK,,20,,,,,,0.0989152
       (1994 RB),1994 RB,,23.4,,,,,,0.0389032
       (1994 RC),1994 RC,,19.3,,,,,,0.0385767
       (1994 TA2),1994 TA2,,20.3,,,,,,0.26327
       (1994 TE2),1994 TE2,,22.7,,,,,,0.258226
       (1994 UG),1994 UG,,21,,,,,,0.0237732
       (1994 US),1994 US,,21,,,,,,0.214944
       (1994 VH8),1994 VH8,,27.7,,,,,,0.00282389
       (1994 WR12),1994 WR12,,22,,,,,,0.00237086
       (1994 XD),1994 XD,,19.1,,,2.7365,,,0.0200722
       (1994 XG),1994 XG,,18.6,,,,,,0.0672518
       (1994 XL1),1994 XL1,,20.9,,,,,,0.0354976
       (1994 XM1),1994 XM1,,28.2,,,,,,0.000621452
       (1995 BK2),1995 BK2,,22.6,,,,,,0.118913
       (1995 CR),1995 CR,,21.7,,,,,,0.0129064
       (1995 CS),1995 CS,,25.5,,,,,,0.0013718
       (1995 DV1),1995 DV1,,23,,,,,,0.0498067
       (1995 DW1),1995 DW1,,21.2,,,,,,0.142123
       (1995 FF),1995 FF,,26.5,,,,,,0.00253087
       (1995 FG),1995 FG,,23,,,,,,0.152489
       (1995 FJ),1995 FJ,,20.3,,,9.2,,,0.149859
       (1995 FO),1995 FO,,20.9,,,,,,0.133315
       (1995 FX),1995 FX,,20.1,,,5.46,,,0.0676187
       (1995 HM),1995 HM,,23,,,1.62,,,0.129269
       (1995 LA),1995 LA,,24,,,,,,0.014757
       (1995 LG),1995 LG,,18.7,,,,,,0.222669
       (1995 NA),1995 NA,,23.2,,,,,,0.0508288
       (1995 SB),1995 SB,,22.2,,,,,,0.279026
       (1995 SC1),1995 SC1,,22.7,,,,,,0.110331
       (1995 SD1),1995 SD1,,20.6,,,,,,0.203393
       (1995 SA4),1995 SA4,,22.3,,,,,,0.0494268
       (1995 UB),1995 UB,,27.5,,,,,,0.00293979
       (1995 UC2),1995 UC2,,21.4,,,,,,0.393848
       (1995 YR1),1995 YR1,,20.2,,,,,,0.0147209
       (1996 AP1),1996 AP1,,24.7,,,,,,0.0231192
       (1996 AW1),1996 AW1,,19.4,,,,,,0.0415995
       (1996 AE2),1996 AE2,,20.3,,,,,,0.120755
       (1996 BT),1996 BT,,23,,,,,,0.032726
       (1996 BA1),1996 BA1,,20.6,,,,,,0.259241
       (1996 BG1),1996 BG1,,23.8,,,,,,0.0267438
       (1996 FS1),1996 FS1,,20.1,,,,,,0.145582
       (1996 FT1),1996 FT1,,24.4,,,,,,0.0247944
       (1996 FO3),1996 FO3,,20.5,,,,,,0.0417711
       (1996 FQ3),1996 FQ3,,20.8,,,,,,0.0720955
       (1996 GQ),1996 GQ,,23.1,,,,,,0.0213524
