full_name,pdes,name,H,diameter,extent,rot_per,H_sigma,diameter_sigma,moid
  4544 Xanthus (1989 FB),4544,Xanthus,17.1,1.3,,37.65,,,0.17361
  4581 Asclepius (1989 FC),4581,Asclepius,20.7,,,,,,0.00347421
  4596 (1981 QB),4596,,16,,,,,,0.298847
  4660 Nereus (1982 DB),4660,Nereus,18.2,0.33,,15.1,,,0.00319609
  4688 (1980 WF),4688,,19.4,0.6,,,,,0.113306
  4769 Castalia (1989 PB),4769,Castalia,16.9,1.4,,4.095,,,0.0201015
  4947 Ninkasi (1988 TJ1),4947,Ninkasi,18,,,,,,0.149054
  4953 (1990 MU),4953,,14.1,,,14.218,,,0.026258
  4954 Eric (1990 SQ),4954,Eric,12.6,10.8,,12.056,,,0.194423
  4957 Brucemurray (1990 XJ),4957,Brucemurray,14.9,,,2.892,,,0.424748
  5011 Ptah (6743 P-L),5011,Ptah,16.3,,,,,,0.0251224
  5131 (1990 BG),5131,,14.6,,,,,,0.275113
  5143 Heracles (1991 VL),5143,Heracles,13.8,,,2.7063,,,0.0585906
  5189 (1990 UQ),5189,,17.7,,,,,,0.0447105
  5324 Lyapunov (1987 SL),5324,Lyapunov,15.5,,,,,,0.201781
  5332 Davidaguilar (1990 DA),5332,Davidaguilar,14.6,3.6,,5.803,,,0.304806
  5370 Taranis (1986 RA),5370,Taranis,15.2,3.6,,,,,0.225933
  5381 Sekhmet (1991 JY),5381,Sekhmet,16.5,,,3,,,0.112501
  5496 (1973 NA),5496,,16,,,2.855,,,0.0898307
  5587 (1990 SB),5587,,13.8,3.57,,5.0522,,,0.304063
  5590 (1990 VA),5590,,19.7,,,,,,0.120834
  5604 (1992 FE),5604,,17.1,0.55,,5.3375,,,0.0341592
  5620 Jasonwheeler (1990 OA),5620,Jasonwheeler,17,,,5.307,,,0.238981
  5626 (1991 FE),5626,,14.2,,,2.4606,,,0.212863
  5645 (1990 SP),5645,,17.1,,,30.39,,,0.0545984
  5646 (1990 TR),5646,,15.2,4.3,,3.1999,,,0.207673
  5653 Camarillo (1992 WD5),5653,Camarillo,16.1,,,4.834,,,0.28299
  5660 (1974 MA),5660,,15.4,,,17.5,,,0.160574
  5693 (1993 EA),5693,,16.6,,,2.497,,,0.00556727
  5731 Zeus (1988 VP4),5731,Zeus,15.7,,,,,,0.0717871
  5751 Zao (1992 AC),5751,Zao,14.6,2.3,,76,,,0.244516
  5786 Talos (1991 RC),5786,Talos,17.1,,,38.52,,,0.188987
  5797 Bivoj (1980 AA),5797,Bivoj,18.8,0.4,,2.706,,,0.0700622
  5828 (1991 AM),5828,,15.9,,,2.6666,,,0.396642
  5836 (1993 MF),5836,,14.7,,,4.9543,,,0.189252
  5863 Tara (1983 RB),5863,Tara,15.6,,,,,,0.232521
  5869 Tanith (1988 VN4),5869,Tanith,17.2,,,,,,0.309932
  5879 Almeria (1992 CH1),5879,Almeria,17.4,,,,,,0.167599
  6037 (1988 EG),6037,,18.7,,,2.76,,,0.0242097
  6047 (1991 TB1),6047,,17.8,,,,,,0.140475
  6050 Miwablock (1992 AE),6050,Miwablock,14.8,,,5.7566,,,0.271476
  6053 (1993 BW3),6053,,14.9,,,2.573,,,0.222285
  6063 Jason (1984 KB),6063,Jason,15.9,1.4,,,,,0.0744382
  6178 (1986 DA),6178,,15.1,2.3,,3.5,,,0.191104
  6239 Minos (1989 QF),6239,Minos,18.4,,,3.5558,,,0.0263319
  6455 (1992 HE),6455,,13.8,,,2.736,,,0.290072
  6456 Golombek (1992 OM),6456,Golombek,15.9,,,2.50129,,,0.280798
  6489 Golevka (1991 JX),6489,Golevka,19.2,0.53,,6.026,,0.03,0.0298682
  6491 (1991 OA),6491,,18.8,,,2.69,,,0.0431405
  6569 Ondaatje (1993 MO),6569,Ondaatje,16.4,,,5.959,,,0.254138
  6611 (1993 VW),6611,,16.8,,,2.5568,,,0.0610907
  7025 (1993 QA),7025,,18.3,,,2.5057,,,0.0628984
  7088 Ishtar (1992 AA),7088,Ishtar,16.7,,,2.679,,,0.223538
  7092 Cadmus (1992 LC),7092,Cadmus,15,,,,,,0.097432
  7236 (1987 PA),7236,,18.4,,,,,,0.200612
  7335 (1989 JA),7335,,17,1.8,,12,,,0.0219516
  7336 Saunders (1989 RS1),7336,Saunders,18.8,,,6.423,,,0.195934
  7341 (1991 VK),7341,,16.7,,,4.2096,,,0.0480828
  7350 (1993 VA),7350,,17,,,,,,0.0804828
  7358 Oze (1995 YA3),7358,Oze,14.6,,,5.433,,,0.122246
  7474 (1992 TC),7474,,18,,,5.54,,,0.167113
  7480 Norwan (1994 PC),7480,Norwan,17,,,35.9,,,0.160987
  7482 (1994 PC1),7482,,16.8,,,2.5999,,,0.000522668
  7753 (1988 XB),7753,,18.6,,,,,,0.00659389
  7822 (1991 CS),7822,,17.4,,,2.389,,,0.0217898
  7839 (1994 ND),7839,,17.8,,,,,,0.137327
  7888 (1993 UC),7888,,15.1,,,2.34,,,0.0888028
  7889 (1994 LX),7889,,15.1,,,2.741,,,0.154732
  7977 (1977 QQ5),7977,,15.2,,,7.457,,,0.357917
  8013 Gordonmoore (1990 KA),8013,Gordonmoore,16.9,2.3,,6,,,0.244829
  8014 (1990 MF),8014,,18.7,0.7,,,,,0.0170448
  8034 Akka (1992 LR),8034,Akka,17.8,,,7.283,,,0.0724359
  8035 (1992 TB),8035,,17,,,,,,0.272493
  8037 (1993 HO1),8037,,16.2,,,13.04,,,0.200508
  8176 (1991 WA),8176,,16.9,,,7.111,,,0.193376
  8201 (1994 AH2),8201,,15.8,,,24,,,0.10163
  8507 (1991 CB1),8507,,17.3,,,,,,0.220155
  8566 (1996 EN),8566,,16.3,,,,,,0.0224918
  8567 (1996 HW1),8567,,15.3,,,8.7573,,,0.122432
  8709 Kadlu (1994 JF1),8709,Kadlu,17,,,50.6,,,0.277215
  9058 (1992 JB),9058,,17.5,,,,,,0.0852783
  9162 Kwiila (1987 OA),9162,Kwiila,17.9,,,,,,0.0811829
  9172 Abhramu (1989 OB),9172,Abhramu,16.4,,,,,,0.247097
  9202 (1993 PB),9202,,15.8,,,,,,0.373218
  9400 (1994 TW1),9400,,14.8,,,,,,0.292646
  9856 (1991 EE),9856,,17.4,1,,3.045,,,0.022536
  9950 ESA (1990 VB),9950,ESA,16.2,,,6.712,,,0.286376
 10115 (1992 SK),10115,,17,,,7.319,,,0.0457464
 10145 (1994 CK1),10145,,16.9,,,,,,0.06281
 10150 (1994 PN),10150,,15.2,,,,,,0.229553
 10165 (1995 BL2),10165,,17.3,,,,,,0.376473
 10302 (1989 ML),10302,,19.3,,,19,,,0.0815513
 10563 Izhdubar (1993 WD),10563,Izhdubar,16.8,,,,,,0.144508
 10636 (1998 QK56),10636,,17.5,,,,,,0.110413
 10860 (1995 LE),10860,,17.2,,,,,,0.114631
 11054 (1991 FA),11054,,16.9,,,2.57223,,,0.121276
 11066 Sigurd (1992 CC1),11066,Sigurd,15.2,,,8.4958,,,0.118851
